wrank/xrank,0,5,10,15,20,25,30,40,50,60,80,100
0,0.403005,0.431091,0.431744,0.408883,0.422600,0.410843,0.411496,0.400392,0.431091,0.424559,0.414108,0.403005
5,0.313521,0.259961,0.256695,0.247551,0.261920,0.266492,0.265186,0.273677,0.242978,0.248204,0.273024,0.258654
10,0.315480,0.289353,0.312214,0.314827,0.320705,0.325278,0.334422,0.308295,0.341607,0.323971,0.322012,0.319399
15,0.312214,0.324624,0.330503,0.354670,0.352057,0.356630,0.330503,0.316133,0.334422,0.316786,0.336381,0.331156
20,0.302417,0.271065,0.282822,0.316133,0.285434,0.286741,0.293272,0.284128,0.281515,0.278250,0.269105,0.277596
25,0.358589,0.391901,0.372306,0.391248,0.376878,0.387329,0.396473,0.393860,0.359242,0.355976,0.360549,0.361855
30,0.348792,0.355323,0.362508,0.367734,0.371653,0.356630,0.374265,0.354670,0.362508,0.347485,0.343566,0.358589
40,0.331809,0.410189,0.418027,0.421946,0.419334,0.440888,0.425865,0.436316,0.405617,0.419987,0.410189,0.401698
50,0.340954,0.367734,0.386022,0.402351,0.371653,0.380797,0.391901,0.399086,0.373612,0.378184,0.385369,0.402351
60,0.360549,0.407577,0.412149,0.418681,0.429784,0.424559,0.427825,0.412802,0.420640,0.427172,0.419987,0.418681
80,0.408883,0.447420,0.466362,0.454605,0.469628,0.465056,0.445460,0.451992,0.453952,0.457871,0.466362,0.463749
100,0.419334,0.469628,0.469628,0.490529,0.483997,0.491835,0.480732,0.478772,0.492489,0.476813,0.485957,0.506858
