wrank/xrank,0,5,10,15,20,25,30,40,50,60,80,100
0,0.698890,0.695624,0.698236,0.704115,0.704115,0.709340,0.693011,0.698236,0.708687,0.696277,0.699543,0.702155
5,0.695624,0.696930,0.689092,0.698890,0.698890,0.681907,0.688439,0.692358,0.685173,0.693011,0.702155,0.703462
10,0.698236,0.700849,0.698890,0.706728,0.696277,0.697583,0.693011,0.699543,0.704768,0.709340,0.703462,0.693664
15,0.695624,0.703462,0.691705,0.698890,0.708687,0.710647,0.706074,0.703462,0.709993,0.694317,0.700849,0.698890
20,0.693664,0.693664,0.693664,0.694317,0.693664,0.702809,0.692358,0.688439,0.694317,0.697583,0.694317,0.689092
25,0.694317,0.696930,0.704115,0.697583,0.695624,0.690398,0.696930,0.702809,0.704768,0.699543,0.708687,0.708034
30,0.682560,0.690398,0.702809,0.694971,0.700849,0.693664,0.713912,0.704768,0.695624,0.696930,0.700196,0.699543
40,0.686479,0.701502,0.700196,0.700196,0.689745,0.693664,0.702809,0.701502,0.698236,0.696277,0.702155,0.702155
50,0.698236,0.705421,0.695624,0.708034,0.706074,0.704768,0.712606,0.702809,0.700849,0.706728,0.700849,0.703462
60,0.713259,0.706074,0.702155,0.700849,0.713259,0.721097,0.706728,0.713912,0.708034,0.705421,0.703462,0.706728
80,0.701502,0.707381,0.709340,0.702155,0.708034,0.707381,0.702155,0.704115,0.704115,0.704115,0.700196,0.704768
100,0.688439,0.703462,0.698236,0.702155,0.713912,0.708034,0.709340,0.706074,0.700196,0.704768,0.707381,0.712606
